State,Region,Density,Pop,LandArea,cars_registered,trucks_registered,Max_1yr_prob,Average_1yr_prob,Score
DC,2,11665.0984,711571,61,208141,128699.966,,,
NJ,1,1213.2917,8922547,7354,2798699,3080935.74,,,
RI,1,1021.9903,1056738,1034,420313,419313.782,,,
MA,1,889.6632,6939373,7800,2208468,2674324.285,,,
CT,1,736.8589,3567871,4842,1302339,1422502.027,,,
MD,2,624.5923,6062917,9707,2006904,2209445.212,,,
DE,2,500.2735,975033,1949,419199,519961.3927,,,
NY,1,413.6005,19491339,47126,4563035,5821795.712,,,
FL,2,403.6579,21646155,53625,7778493,8534913.248,,,
OH,3,286.791,11718568,40861,4605459,5752346.189,,,
PA,1,286.3905,12813969,44743,4463267,5792845.749,,,
CA,4,255.1516,39747267,155779,14860967,14991713.53,,,
IL,3,228.7574,12700381,55519,4655844,5866613.923,,,
HI,5,220.5494,1416589,6423,512386,708545.8841,,,
VA,2,217.0662,8571946,39490,3251339,4034926.127,,,
NC,2,215.9229,10497741,48618,3317918,4531463.42,,,
IN,3,187.5346,6718616,35826,2261440,3637290.375,,,
GA,2,184.789,10627767,57513,3536055,4665930.197,,,
MI,3,177.2312,10020472,56539,3257473,4993400.461,,,
SC,2,171.2222,5147111,30061,1808401,2459838.614,,,
TN,2,165.728,6833793,41235,2325004,3280359.426,,,
NH,1,152.3346,1363852,8953,505381,732066.647,,,
WA,4,115.3597,7666343,66456,2925765,4075464.371,,,
KY,2,113.5604,4484047,39486,1691085,2490197.505,,,
TX,2,111.3457,29087070,261232,8176879,13522053,,,
WI,3,107.6971,5832661,54158,2092584,3163814.336,,,
LA,2,107.6887,4652581,43204,1389436,2374552.402,,,
AL,2,96.7173,4898246,50645,2065463,2872743.275,,,
MO,3,89.4338,6147861,68742,2141050,3262212.05,,,
WV,2,74.5466,1791951,24038,562984,1064328.921,,,
MN,3,71.0302,5655925,79627,2146187,3274929.561,,,
VT,1,68.046,627180,9217,221936,367647.066,,,
AZ,4,64.0445,7275070,113594,2391624,3399703.687,,,
MS,2,63.6766,2987895,46923,822864,1198469.571,,,
AR,2,58.1611,3026412,52035,926789,1805509.597,,,
OK,2,57.5691,3948950,68595,1337624,2267209.469,,,
IA,3,56.7162,3167997,55857,1268996,2277193.983,,,
CO,4,55.6777,5770545,103642,1785058,3271595.227,,,
OR,4,44.2337,4245901,95988,1542461,2400560.6,,,
ME,1,43.5138,1342097,30843,387233,651349.3642,,,
UT,4,39.2066,3221610,82170,925052,1340619.059,,,
KS,3,35.6038,2910931,81759,987259,1628493.666,,,
NV,4,28.1198,3087025,109781,1047508,1328704.272,,,
NE,3,25.2645,1940919,76824,677040,1218764.637,,,
ID,4,21.6616,1790182,82643,550006,1218729.627,,,
NM,4,17.28,2096034,121298,609494,1066511.825,,,
SD,3,11.7744,892631,75811,353180,785101.4636,,,
ND,3,11.0274,760900,69001,276545,724941.4319,,,
MT,4,7.3828,1074532,145546,441392,1111168.745,,,
WY,4,5.8952,572381,97093,193523,592554.9635,,,
AK,6,1.2893,735720,570641,173487,591079.2184,,,
